feature,auc,auc_directed,n_scored,missing_rate,missing_indicator_auc,flag_investigate_high_auc,flag_missingness_signal
bin_distinct_merchants_120s,0.9698273995981285,0.9698273995981285,31873,0.0,0.5,True,False
bin_txn_count_120s,0.9698201895337063,0.9698201895337063,31873,0.0,0.5,True,False
bin_distinct_cards_120s,0.9696197283917818,0.9696197283917818,31873,0.0,0.5,True,False
bin_distinct_merchants_300s,0.9693806465972635,0.9693806465972635,31873,0.0,0.5,True,False
bin_txn_count_300s,0.9693727138840154,0.9693727138840154,31873,0.0,0.5,True,False
bin_distinct_cards_300s,0.968962298622408,0.968962298622408,31873,0.0,0.5,True,False
dec_ip_rate_1200s,0.9594835366612723,0.9594835366612723,1295,0.9593699996862548,0.40025822706125397,True,False
bin_distinct_merchants_1200s,0.9547457514490094,0.9547457514490094,31873,0.0,0.5,True,False
bin_txn_count_1200s,0.9546964470904779,0.9546964470904779,31873,0.0,0.5,True,False
dec_ip_rate_300s,0.9546159587619247,0.9546159587619247,647,0.9797006871019358,0.3901826218987033,True,False
bin_distinct_cards_1200s,0.9526729071991459,0.9526729071991459,31873,0.0,0.5,True,False
bin_txn_count_30s,0.9526635866716753,0.9526635866716753,31873,0.0,0.5,True,False
bin_distinct_merchants_30s,0.9526635538240014,0.9526635538240014,31873,0.0,0.5,True,False
bin_distinct_cards_30s,0.9525778624547014,0.9525778624547014,31873,0.0,0.5,True,False
dec_ip_rate_120s,0.9462188645373626,0.9462188645373626,490,0.9846264863677721,0.38755121937792025,True,False
vel_ip_burst_density_30s_1200s,0.8889961090654889,0.8889961090654889,3302,0.896401342829354,0.23366666660097132,True,True
dec_ip_rate_30s,0.8756983240223464,0.8756983240223464,360,0.988705173657955,0.4123314142408331,True,False
vel_device_burst_density_30s_1200s,0.8694455627711942,0.8694455627711942,2073,0.9349606249803909,0.20730973411910225,True,True
vel_card_burst_density_30s_1200s,0.84240936568581,0.84240936568581,1118,0.964923289304427,0.34049436439028347,True,True
amt_device_median_30s,0.16882215945691492,0.8311778405430851,982,0.9691902237003106,0.26492815918087886,True,True
amt_device_mean_30s,0.17590803230761606,0.8240919676923839,982,0.9691902237003106,0.26492815918087886,True,True
device_distinct_merchants_1200s,0.7977956484452736,0.7977956484452736,31873,0.0,0.5,True,False
vel_device_count_1200s,0.7977890296389817,0.7977890296389817,31873,0.0,0.5,True,False
